Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:47:00.630 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6008.789062,6005.273438,-6000.000000,-6000.000000,Speed,Speed,-0.210000,0.880000,2.400000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.542908,0.273148,0.000000,23.145432,15.659775,0.000000,0.051000,0.036000,0.010000,FlatInitial,Hold,0,-0.828125,-0.210000
07:47:00.730 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6008.789062,6009.375000,-6000.000000,-6000.000000,Speed,Speed,-0.210000,0.880000,2.400000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.542908,0.273148,0.000000,23.145432,15.659775,0.000000,0.051000,0.036000,0.010000,FlatInitial,Hold,0,-0.828125,-0.210000
07:47:00.831 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6008.203125,6012.890625,-6000.000000,-6000.000000,Speed,Speed,-0.210000,0.970000,2.580000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.615387,0.333069,0.000000,23.174759,15.675156,0.000000,0.079000,0.058000,-0.014000,FlatInitial,Hold,0,-0.828125,-0.210000
07:47:00.932 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.718750,6011.718750,-6000.000000,-6000.000000,Speed,Speed,-0.210000,1.060000,2.730000,1.000000,111.000000,1,0,-0.000000,0.000000,1,0.686996,0.367462,0.000000,23.207672,15.692963,0.000000,0.064000,0.031000,0.002000,FlatInitial,Hold,0,-0.828125,-0.210000
07:47:01.032 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.718750,6012.304688,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.150000,2.800000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.766937,0.406311,0.000000,23.251617,15.716324,0.000000,0.083000,0.030000,-0.001000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:01.132 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6009.960938,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.210000,2.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.830399,0.000000,0.000000,23.283951,15.724487,0.000000,0.078000,0.002000,-0.018000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:01.232 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.031250,6004.687500,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.260000,2.650000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.897797,-0.014130,0.000000,23.327530,15.724213,0.000000,0.070000,-0.053000,-0.020000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:01.332 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6003.515625,6004.101562,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.280000,2.470000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.959274,-0.050156,0.000000,23.374329,15.722321,0.000000,0.073000,0.010000,-0.006000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:01.432 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.929688,6005.273438,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.310000,2.340000,1.000000,110.000000,1,0,-0.000000,0.000000,1,1.021637,-0.064285,0.000000,23.424133,15.719406,0.000000,0.066000,-0.005000,0.014000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:01.533 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.757812,6006.445312,-6000.000000,-6000.000000,Speed,Speed,-0.230000,1.330000,2.180000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.109497,-0.095032,0.000000,23.499237,15.713699,0.000000,0.037000,-0.013000,0.021000,FlatInitial,Hold,0,-0.828125,-0.230000
