Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:24:28.690 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5999.414062,6000.585938,-6000.000000,-6000.000000,Speed,Speed,-34.900000,0.440000,2.460000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.040634,0.020691,0.000000,24.457001,11.344254,0.000000,-0.045000,-0.100000,0.049000,FlatInitial,Hold,0,-0.043750
07:24:28.791 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.070312,6001.757812,-6000.000000,-6000.000000,Speed,Speed,-34.910000,0.450000,2.490000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.023270,0.002151,0.000000,24.455872,11.344620,0.000000,-0.035000,-0.032000,0.033000,FlatInitial,Hold,0,-0.043750
07:24:28.891 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.140625,6000.000000,-6000.000000,-6000.000000,Speed,Speed,-34.900000,0.540000,2.540000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.067703,0.029083,0.000000,24.453156,11.345734,0.000000,-0.009000,0.016000,0.002000,FlatInitial,Hold,0,-0.043750
07:24:28.991 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5993.554688,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-34.910000,0.640000,2.590000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.005783,0.007492,0.000000,24.450775,11.345932,0.000000,-0.041000,-0.007000,-0.045000,FlatInitial,Hold,0,-0.043750
07:24:29.091 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5993.554688,6001.171875,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.680000,2.650000,1.000000,100.000000,1,0,-0.000000,0.000000,1,-0.035278,0.010468,0.000000,24.449768,11.346085,0.000000,-0.086000,0.000000,-0.028000,FlatInitial,Hold,0,-0.043750
07:24:29.191 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5992.968750,5998.242188,-6000.000000,-6000.000000,Speed,Speed,-34.920000,0.790000,2.640000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.084778,0.000000,0.000000,24.445526,11.345871,0.000000,-0.086000,0.000000,-0.028000,FlatInitial,Hold,0,-0.043750
07:24:29.291 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.726562,5992.382812,-6000.000000,-6000.000000,Speed,Speed,-34.920000,0.820000,2.670000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.126465,-0.003113,0.000000,24.439957,11.345673,0.000000,-0.078000,-0.032000,0.042000,FlatInitial,Hold,0,-0.043750
07:24:29.391 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5995.898438,5990.625000,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.740000,2.650000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.174423,0.000000,0.000000,24.432114,11.345200,0.000000,-0.033000,0.038000,-0.057000,FlatInitial,Hold,0,-0.043750
07:24:29.491 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.656250,5991.210938,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.720000,2.630000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.217117,-0.007187,0.000000,24.422012,11.345139,0.000000,-0.039000,-0.047000,-0.060000,FlatInitial,Hold,0,-0.043750
07:24:29.591 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,5993.554688,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.700000,2.610000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.217117,-0.007187,0.000000,24.422012,11.345139,0.000000,-0.039000,-0.047000,-0.060000,FlatInitial,Hold,0,-0.043750
