Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:53:25.235 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.343750,5996.484375,-6000.000000,-6000.000000,Speed,Speed,-0.170000,1.230000,4.240000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.565582,-0.001083,0.000000,3.889023,46.644699,0.000000,0.064000,-0.019000,0.038000,FlatInitial,Hold,0,0.096875,-0.170000
07:53:25.335 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6003.515625,5998.242188,-6000.000000,-6000.000000,Speed,Speed,-0.180000,1.280000,4.400000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.636932,0.009613,0.000000,3.925400,46.644913,0.000000,0.067000,-0.010000,0.008000,FlatInitial,Hold,0,0.096875,-0.180000
07:53:25.435 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.929688,5998.242188,-6000.000000,-6000.000000,Speed,Speed,-0.180000,1.350000,4.570000,1.000000,105.000000,1,0,-0.000000,0.000000,1,0.686417,-0.009399,0.000000,3.952072,46.644958,0.000000,0.057000,-0.019000,0.019000,FlatInitial,Hold,0,0.096875,-0.180000
07:53:25.536 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6003.515625,5998.828125,-6000.000000,-6000.000000,Speed,Speed,-0.190000,1.440000,4.740000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.745300,-0.030624,0.000000,3.988129,46.643951,0.000000,0.067000,-0.071000,0.013000,FlatInitial,Hold,0,0.096875,-0.190000
07:53:25.636 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.757812,5998.242188,-6000.000000,-6000.000000,Speed,Speed,-0.200000,1.520000,4.830000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.807770,-0.069122,0.000000,4.027344,46.640900,0.000000,0.065000,-0.006000,-0.017000,FlatInitial,Hold,0,0.096875,-0.200000
07:53:25.737 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6000.585938,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-0.210000,1.620000,4.960000,1.000000,104.000000,1,0,-0.000000,0.000000,1,0.870209,-0.096603,0.000000,4.069580,46.636948,0.000000,0.059000,-0.046000,0.005000,FlatInitial,Hold,0,0.096875,-0.210000
07:53:25.838 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,6004.101562,-6000.000000,-6000.000000,Speed,Speed,-0.210000,1.700000,5.010000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.944595,-0.150818,0.000000,4.124374,46.629105,0.000000,0.076000,-0.078000,0.024000,FlatInitial,Hold,0,0.096875,-0.210000
07:53:25.939 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,6005.273438,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.790000,5.030000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.998810,-0.204803,0.000000,4.163544,46.621719,0.000000,0.061000,-0.047000,0.019000,FlatInitial,Hold,0,0.096875,-0.220000
07:53:26.040 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6003.515625,6010.546875,-6000.000000,-6000.000000,Speed,Speed,-0.230000,1.920000,5.080000,1.000000,103.000000,1,0,-0.000000,0.000000,1,1.073013,-0.257889,0.000000,4.225922,46.607605,0.000000,0.044000,-0.038000,0.010000,FlatInitial,Hold,0,0.096875,-0.230000
07:53:26.141 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6005.273438,6011.132812,-6000.000000,-6000.000000,Speed,Speed,-0.240000,1.970000,5.040000,1.000000,104.000000,1,0,-0.000000,0.000000,1,1.140121,-0.354828,0.000000,4.292694,46.588913,0.000000,0.060000,-0.081000,-0.026000,FlatInitial,Hold,0,0.096875,-0.240000
07:53:26.242 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6006.445312,-6000.000000,-6000.000000,Speed,Speed,-0.250000,2.040000,4.880000,1.000000,103.000000,1,0,-0.000000,0.000000,1,1.189499,-0.464233,0.000000,4.351166,46.568100,0.000000,0.046000,-0.127000,-0.032000,FlatInitial,Hold,0,0.096875,-0.250000
07:53:26.345 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.031250,6005.859375,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.130000,4.540000,1.000000,100.000000,1,0,-0.000000,0.000000,1,1.240417,-0.556259,0.000000,4.412079,46.542206,0.000000,0.067000,-0.116000,-0.076000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:26.445 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6006.445312,6004.101562,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.170000,4.280000,1.000000,103.000000,1,0,-0.000000,0.000000,1,1.284988,-0.674011,0.000000,4.475494,46.510834,0.000000,0.030000,-0.090000,-0.029000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:26.547 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6004.687500,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.210000,3.880000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.335129,-0.785416,0.000000,4.541245,46.473877,0.000000,0.043000,-0.142000,-0.039000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:26.648 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6004.101562,6002.929688,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.220000,3.540000,1.000000,105.000000,1,0,-0.000000,0.000000,1,1.384796,-0.895767,0.000000,4.609558,46.431183,0.000000,0.042000,-0.103000,-0.013000,FlatInitial,Hold,0,0.096875,-0.260000
