Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AngeMotorState,Photoeye,VisionXOutput,gyro180,RollerArmDesired,RollerArmActual,ShooterArmDesired,ShooterArmActual, DefenseDetectorController,DefenseDetectorRaw,IsStalled,Auto0CurrentFile,Auto1FileStatus,Auto2CurrentCommand,Auto3TrimmedCommand
07:24:50.605 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-50.390625,-55.078125,0.000000,0.000000,Speed,Speed,-1.030000,5.260000,1.470000,Hold,101.000000,0,0,0.000000,0.000000,0,1.008850,-0.080399,0.000000,-10.652756,-0.445328,0.000000,-0.095000,0.010000,0.479000,FlatInitial,ResetBack,0,0.000000,-1.030000,0.000000,1705.000000,-0.300000,22.000000,0,0,0,,,,
07:24:50.705 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-45.263672,-49.658203,0.000000,0.000000,Speed,Speed,-1.010000,4.540000,1.470000,Hold,102.000000,0,0,0.000000,0.000000,0,0.988297,-0.063034,0.000000,-10.603134,-0.448120,0.000000,-0.037000,-0.039000,0.050000,FlatInitial,ResetBack,0,0.000000,-1.010000,0.000000,1707.000000,-0.300000,22.000000,0,0,0,,,,
07:24:50.805 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-40.429688,-44.091797,0.000000,0.000000,Speed,Speed,-0.920000,5.070000,1.390000,Hold,105.000000,0,0,0.000000,0.000000,0,0.896667,0.010025,0.000000,-10.556793,-0.449173,0.000000,-0.038000,0.035000,-0.048000,FlatInitial,ResetBack,0,0.000000,-0.920000,0.000000,1707.000000,-0.300000,47.000000,0,0,0,,,,
07:24:50.906 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-35.742188,-38.671875,0.000000,0.000000,Speed,Speed,-0.590000,4.120000,1.460000,Hold,103.000000,0,0,0.000000,0.000000,0,0.000000,0.016418,0.000000,-10.530762,-0.448349,0.000000,0.009000,-0.058000,0.055000,FlatInitial,ResetBack,0,0.000000,-0.590000,0.000000,1707.000000,-0.300000,52.000000,0,0,0,,,,
07:24:51.007 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-31.201172,-33.544922,0.000000,0.000000,Speed,Speed,-0.440000,3.760000,1.360000,Hold,102.000000,0,0,0.000000,0.000000,0,-0.041168,0.010284,0.000000,-10.531891,-0.447952,0.000000,-0.037000,0.055000,-0.040000,FlatInitial,Reset,0,0.000000,-0.440000,0.000000,1707.000000,0.000000,389.000000,0,0,0,,,,
07:24:51.108 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-27.099609,-28.417969,6000.000000,6000.000000,Speed,Speed,-0.430000,3.460000,1.200000,LowGoal,104.000000,0,0,0.000000,0.000000,0,-0.102615,-0.004715,0.000000,-10.535797,-0.447830,0.000000,-0.064000,-0.043000,-0.034000,FlatInitial,Hold,0,0.000000,-0.430000,0.000000,1707.000000,0.000000,-155.000000,0,0,0,,,,
07:24:51.209 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-24.462891,-25.927734,6000.000000,6000.000000,Speed,Speed,-0.420000,3.100000,1.160000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-0.165588,0.000000,0.000000,-10.543045,-0.447876,0.000000,-0.076000,-0.001000,0.095000,FlatInitial,Hold,0,0.000000,-0.420000,0.000000,1707.000000,0.000000,-319.000000,0,0,0,,,,
07:24:51.310 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-30.908203,-34.570312,6000.000000,6000.000000,Speed,Speed,-0.130000,2.530000,1.240000,LowGoal,102.000000,1,0,0.000000,0.000000,0,-0.281433,0.056488,0.000000,-10.552429,-0.446548,0.000000,-0.134000,0.052000,-0.036000,FlatInitial,Hold,0,0.000000,-0.130000,0.000000,1707.000000,0.000000,-309.000000,0,0,0,,,,
07:24:51.411 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-40.869141,-45.117188,6000.000000,6000.000000,Speed,Speed,0.090000,2.910000,1.250000,LowGoal,101.000000,1,0,0.000000,0.000000,0,-0.386002,0.104416,0.000000,-10.573044,-0.440811,0.000000,-0.095000,-0.062000,0.041000,FlatInitial,Hold,0,0.000000,0.090000,0.000000,1708.000000,0.000000,-309.000000,0,0,0,,,,
07:24:51.512 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-48.779297,-53.466797,6000.000000,6000.000000,Speed,Speed,-0.120000,5.050000,1.090000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-0.452011,0.077087,0.000000,-10.594467,-0.436646,0.000000,0.079000,-0.044000,0.276000,FlatInitial,Hold,0,0.000000,-0.120000,0.000000,1708.000000,0.000000,-319.000000,0,0,0,,,,
07:24:51.613 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-55.224609,-60.058594,6000.000000,6000.000000,Speed,Speed,-0.120000,6.660000,1.010000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-0.483429,0.106552,0.000000,-10.617203,-0.431244,0.000000,0.018000,0.064000,-0.353000,FlatInitial,Hold,0,0.000000,-0.120000,0.000000,1708.000000,0.000000,-298.000000,0,0,0,,,,
07:24:51.714 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-60.058594,-65.039062,6000.000000,6000.000000,Speed,Speed,-0.090000,8.540000,1.140000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-0.520569,0.181427,0.000000,-10.641464,-0.424576,0.000000,-0.457000,0.155000,-0.327000,AngleUp,Hold,0,0.000000,-0.090000,0.000000,1708.000000,0.000000,-276.000000,0,0,0,,,,
07:24:51.815 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-64.160156,-68.847656,6000.000000,6000.000000,Speed,Speed,2.800000,12.580000,-0.010000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-0.790695,0.198456,0.000000,-10.676773,-0.413483,0.000000,-0.015000,-0.289000,0.366000,AngleUp,Hold,0,0.000000,2.800000,0.000000,1709.000000,0.000000,-298.000000,0,0,0,,,,
07:24:51.916 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-66.943359,-70.898438,6000.000000,6000.000000,Speed,Speed,1.570000,17.620000,0.490000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-0.753235,0.057220,0.000000,-10.716187,-0.408829,0.000000,0.228000,0.005000,-0.243000,AngleUp,Hold,0,0.000000,1.570000,0.000000,1709.000000,0.000000,-288.000000,0,0,0,,,,
07:24:52.016 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-68.408203,-72.802734,6000.000000,6000.000000,Speed,Speed,1.020000,18.860000,1.090000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-0.498749,0.166870,0.000000,-10.745132,-0.402908,0.000000,-0.193000,0.034000,0.169000,AngleUp,Hold,0,0.000000,1.020000,0.000000,1709.000000,0.000000,-305.000000,0,0,0,,,,
07:24:52.118 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-70.166016,-74.121094,6000.000000,6000.000000,Speed,Speed,0.470000,14.700000,0.090000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-0.649612,-0.039978,0.000000,-10.770828,-0.397827,0.000000,1.821000,-2.012000,-2.274000,AngleUp,Hold,0,0.000000,0.470000,0.000000,1746.000000,0.000000,-305.000000,0,0,0,,,,
07:24:52.217 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-71.630859,-75.292969,6000.000000,6000.000000,Speed,Speed,3.780000,15.550000,-0.180000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-0.763672,-0.574539,0.000000,-10.806732,-0.426834,0.000000,-0.336000,0.247000,0.977000,AngleUp,Hold,0,0.000000,3.780000,0.000000,1746.000000,0.000000,-325.000000,0,0,0,,,,
07:24:52.317 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-72.802734,-76.171875,6000.000000,6000.000000,Speed,Speed,9.680000,12.940000,-0.400000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-0.974655,-0.651703,0.000000,-10.852859,-0.454269,0.000000,-0.071000,-0.220000,-0.843000,AngleUp,Hold,0,0.000000,9.680000,0.000000,1907.000000,0.000000,-275.000000,0,0,0,,,,
07:24:52.417 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.242188,-76.171875,6000.000000,6000.000000,Speed,Speed,15.110000,10.070000,1.730000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-1.006546,-0.700790,0.000000,-10.901810,-0.490570,0.000000,-0.164000,-0.102000,-0.763000,AngleUp,Hold,0,0.000000,15.110000,0.000000,2082.000000,0.000000,-272.000000,0,0,0,,,,
07:24:52.517 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.095703,-75.878906,6000.000000,6000.000000,Speed,Speed,20.130000,11.710000,2.660000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-1.066452,-0.684937,0.000000,-10.954559,-0.525940,0.000000,-0.354000,-0.594000,0.398000,AngleUp,Hold,0,0.000000,20.130000,0.000000,2107.000000,0.000000,-272.000000,0,0,0,,,,
07:24:52.617 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.388672,-75.878906,6000.000000,6000.000000,Speed,Speed,21.170000,16.500000,4.820000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-0.982834,-0.946655,0.000000,-11.008423,-0.569916,0.000000,0.030000,0.242000,1.097000,AngleUp,Hold,0,0.000000,21.170000,0.000000,2107.000000,0.000000,-260.000000,0,0,0,,,,
07:24:52.717 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.535156,-75.585938,6000.000000,6000.000000,Speed,Speed,23.660000,17.840000,3.500000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-0.676575,-0.666656,0.000000,-11.062057,-0.624146,0.000000,-0.064000,0.260000,-0.148000,AngleUp,Hold,0,0.000000,23.660000,0.000000,2123.000000,0.000000,-260.000000,0,0,0,,,,
07:24:52.817 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-72.802734,-74.414062,6000.000000,6000.000000,Speed,Speed,29.500000,13.760000,1.650000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-0.621399,-0.653214,0.000000,-11.094604,-0.656433,0.000000,-0.140000,-0.187000,-0.294000,AngleUp,Hold,0,0.000000,29.500000,0.000000,2123.000000,0.000000,-260.000000,0,0,0,,,,
07:24:52.919 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.095703,-74.560547,6000.000000,6000.000000,Speed,Speed,35.040000,6.000000,1.120000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-0.739624,-0.638840,0.000000,-11.131516,-0.687088,0.000000,0.557000,-0.664000,-1.103000,AngleUp,Hold,0,0.000000,35.040000,0.000000,2123.000000,0.000000,-260.000000,0,0,0,,,,
07:24:53.018 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.681641,-75.000000,6000.000000,6000.000000,Speed,Speed,36.590000,8.900000,-0.910000,LowGoal,104.000000,0,0,0.000000,0.000000,0,-0.841721,-0.812149,0.000000,-11.163422,-0.716797,0.000000,0.104000,0.913000,0.931000,AngleUp,Hold,0,0.000000,36.590000,0.000000,2161.000000,0.000000,-262.000000,0,0,0,,,,
07:24:53.119 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.388672,-75.000000,6000.000000,6000.000000,Speed,Speed,36.590000,8.900000,-0.910000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-0.818405,-0.801041,0.000000,-11.213089,-0.761154,0.000000,0.104000,0.913000,0.931000,AngleUp,Hold,0,0.000000,36.590000,0.000000,2181.000000,0.000000,-262.000000,0,0,0,,,,
07:24:53.220 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.828125,-75.146484,6000.000000,6000.000000,Speed,Speed,38.220000,11.440000,-2.250000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-1.204315,0.210785,0.000000,-11.261444,-0.777328,0.000000,0.245000,0.115000,0.008000,AngleUp,Hold,0,0.000000,38.220000,0.000000,2182.000000,0.000000,-262.000000,0,0,0,,,,
07:24:53.321 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.974609,-75.146484,6000.000000,6000.000000,Speed,Speed,41.350000,9.810000,-0.420000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-1.255859,0.000793,0.000000,-11.323318,-0.770584,0.000000,-0.074000,-0.165000,-0.621000,AngleUp,Hold,0,0.000000,41.350000,0.000000,2183.000000,0.000000,-261.000000,0,0,0,,,,
07:24:53.421 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.974609,-74.853516,6000.000000,6000.000000,Speed,Speed,42.810000,9.650000,0.360000,LowGoal,109.000000,0,0,0.000000,0.000000,0,-1.265488,0.188812,0.000000,-11.374176,-0.767441,0.000000,0.259000,-0.374000,-0.397000,AngleUp,Hold,0,0.000000,42.810000,0.000000,2183.000000,0.000000,-261.000000,0,0,0,,,,
07:24:53.521 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-73.974609,-74.707031,6000.000000,6000.000000,Speed,Speed,42.810000,9.650000,0.360000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-1.333115,0.112259,0.000000,-11.451187,-0.758240,0.000000,0.095000,0.006000,-0.388000,AngleUp,Hold,0,0.000000,42.810000,0.000000,2183.000000,0.000000,-261.000000,0,0,0,,,,
07:24:53.622 PM 03/22/2016,Autonomous Enabled,2,FALSE,0,NO ERROR,-74.121094,-74.560547,6000.000000,6000.000000,Speed,Speed,43.980000,9.430000,0.080000,LowGoal,105.000000,0,0,0.000000,0.000000,0,-1.333115,0.112259,0.000000,-11.451187,-0.758240,0.000000,0.095000,0.006000,-0.388000,AngleUp,Hold,0,0.000000,43.980000,0.000000,2183.000000,0.000000,-261.000000,0,0,0,,,,
07:24:53.722 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-73.535156,-73.535156,6000.000000,6000.000000,Speed,Speed,45.020000,9.810000,0.300000,LowGoal,100.000000,0,0,0.000000,0.000000,0,-1.459061,0.096649,0.000000,-11.582687,-0.749313,0.000000,-0.487000,0.191000,0.037000,AngleUp,Hold,0,0.000000,45.020000,0.000000,2183.000000,0.000000,-994.000000,0,0,0,,,,
07:24:53.822 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-69.433594,-68.115234,6000.000000,6000.000000,Speed,Speed,45.010000,8.860000,-0.220000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-1.312729,0.121262,0.000000,-11.665863,-0.744095,0.000000,-0.251000,-0.087000,0.073000,AngleUp,Hold,0,0.000000,45.010000,0.000000,2183.000000,0.000000,-9758.000000,0,0,0,,,,
07:24:53.923 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-64.453125,-62.109375,6000.000000,6000.000000,Speed,Speed,44.050000,9.390000,0.400000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-1.269958,0.088455,0.000000,-11.716675,-0.740280,0.000000,0.237000,-0.068000,0.087000,AngleUp,Hold,0,0.000000,44.050000,0.000000,2183.000000,0.000000,-15949.000000,0,0,0,,,,
07:24:54.024 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-59.619141,-56.396484,6000.000000,6000.000000,Speed,Speed,43.860000,9.600000,0.290000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-1.213150,0.042648,0.000000,-11.778595,-0.736008,0.000000,0.184000,0.176000,0.367000,AngleUp,Hold,0,0.000000,43.860000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.124 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-54.931641,-50.976562,6000.000000,6000.000000,Speed,Speed,43.470000,8.440000,0.440000,LowGoal,103.000000,0,0,0.000000,0.000000,0,-1.213150,0.042648,0.000000,-11.778595,-0.736008,0.000000,0.184000,0.176000,0.367000,AngleUp,Hold,0,0.000000,43.470000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.225 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-50.244141,-45.410156,6000.000000,6000.000000,Speed,Speed,43.410000,6.950000,0.050000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-1.151199,0.000000,0.000000,-11.893341,-0.730331,0.000000,0.091000,0.047000,0.034000,AngleUp,Hold,0,0.000000,43.410000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.325 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-45.703125,-41.162109,6000.000000,6000.000000,Speed,Speed,43.210000,7.040000,0.260000,LowGoal,102.000000,0,0,0.000000,0.000000,0,-1.140259,0.034058,0.000000,-11.950897,-0.729324,0.000000,-0.096000,0.032000,0.141000,AngleUp,Hold,0,0.000000,43.210000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.426 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-42.480469,-36.035156,6000.000000,6000.000000,Speed,Speed,43.040000,6.990000,0.410000,LowGoal,101.000000,0,0,0.000000,0.000000,0,-1.080460,0.076248,0.000000,-12.016159,-0.726547,0.000000,0.111000,0.023000,0.026000,AngleUp,Hold,0,0.000000,43.040000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.527 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-38.378906,-31.054687,6000.000000,6000.000000,Speed,Speed,43.030000,7.070000,0.460000,LowGoal,102.000000,0,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,-12.047577,-0.724945,0.000000,0.111000,0.023000,0.071000,AngleUp,Hold,0,0.000000,43.030000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.628 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-34.570312,-26.220703,6000.000000,6000.000000,Speed,Speed,43.060000,7.070000,0.530000,LowGoal,102.000000,0,0,0.000000,0.000000,0,0.007339,0.001572,0.000000,-12.046997,-0.724884,0.000000,0.005000,0.014000,0.044000,AngleUp,Hold,0,0.000000,43.060000,0.000000,2183.000000,0.000000,-17613.000000,0,0,0,,,,
07:24:54.729 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-30.761719,-21.679688,6000.000000,6000.000000,Speed,Speed,43.030000,7.250000,0.610000,LowGoal,101.000000,0,0,0.000000,0.000000,0,0.021072,0.001465,0.000000,-12.045853,-0.724686,0.000000,0.060000,0.099000,0.019000,AngleUp,Hold,0,0.000000,43.030000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:54.830 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-27.246094,-18.164062,4000.000000,4000.000000,Speed,Speed,43.060000,7.230000,0.610000,LowGoal,103.000000,0,0,0.000000,0.000000,0,0.021072,0.001465,0.000000,-12.045853,-0.724686,0.000000,0.012000,-0.037000,0.027000,AngleUp,Hold,0,0.000000,43.060000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:54.931 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-24.609375,-13.769531,4000.000000,4000.000000,Speed,Speed,43.050000,7.300000,0.670000,LowGoal,101.000000,0,0,0.000000,0.000000,0,0.010834,0.021683,0.000000,-12.044876,-0.723770,0.000000,0.011000,0.045000,0.038000,AngleUp,Hold,0,0.000000,43.050000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:55.031 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-21.240234,-9.667969,4000.000000,4000.000000,Speed,Speed,43.060000,7.320000,0.640000,LowGoal,101.000000,0,0,0.000000,0.000000,0,0.010834,0.021683,0.000000,-12.044876,-0.723770,0.000000,0.019000,0.008000,-0.014000,AngleUp,Hold,0,0.000000,43.060000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:55.132 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-17.871094,-5.566406,4000.000000,4000.000000,Speed,Speed,43.050000,7.380000,0.750000,LowGoal,102.000000,0,0,0.000000,0.000000,0,0.024673,-0.016022,0.000000,-12.044128,-0.723907,0.000000,0.016000,0.000000,0.012000,AngleUp,Hold,0,0.000000,43.050000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:55.232 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-14.794922,-1.464844,4000.000000,4000.000000,Speed,Speed,43.060000,7.370000,0.770000,LowGoal,102.000000,0,0,0.000000,0.000000,0,0.033630,0.001221,0.000000,-12.042480,-0.724289,0.000000,0.000000,0.000000,0.041000,AngleUp,Hold,0,0.000000,43.060000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:55.333 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-11.718750,0.000000,4000.000000,4000.000000,Speed,Speed,43.060000,7.420000,0.770000,LowGoal,104.000000,0,0,0.000000,0.000000,0,0.003494,-0.010574,0.000000,-12.042450,-0.724380,0.000000,-0.016000,0.000000,0.014000,AngleUp,Hold,0,0.000000,43.060000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
07:24:55.434 PM 03/22/2016,Autonomous Disabled,2,FALSE,0,NO ERROR,-8.935547,0.000000,4000.000000,4000.000000,Speed,Speed,43.060000,7.490000,0.760000,LowGoal,101.000000,0,0,0.000000,0.000000,0,0.013275,-0.031860,0.000000,-12.042099,-0.725220,0.000000,0.004000,-0.009000,-0.036000,AngleUp,Hold,0,0.000000,43.060000,0.000000,2183.000000,0.000000,-17613.000000,0,0,1,,,,
