Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
06:58:40.792 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3996.972656,-4005.029297,4000.000000,4000.000000,Speed,Speed,-15.760000,1.290000,2.410000,3.000000,101.000000,1,1,0.000000,-0.000000,1,-0.001129,0.006042,0.000000,0.012711,0.021927,0.000000,-0.035000,-0.018000,0.102000,FlatInitial,Hold,0,0.000000
06:58:40.892 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3994.921875,-3999.462891,4000.000000,4000.000000,Speed,Speed,-15.770000,1.300000,2.400000,3.000000,101.000000,1,1,0.000000,-0.000000,1,-0.005783,0.003174,0.000000,0.012527,0.022034,0.000000,0.013000,-0.022000,-0.070000,FlatInitial,Hold,0,0.000000
06:58:40.992 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3995.214844,-3996.386719,4000.000000,4000.000000,Speed,Speed,-15.770000,1.310000,2.410000,3.000000,103.000000,1,1,0.000000,-0.000000,1,0.000000,0.007217,0.000000,0.012360,0.022354,0.000000,0.019000,0.048000,0.014000,FlatInitial,Hold,0,0.000000
06:58:41.093 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3999.169922,-3991.699219,4000.000000,4000.000000,Speed,Speed,-15.760000,1.290000,2.420000,3.000000,101.000000,1,1,0.000000,-0.000000,1,0.003616,0.019653,0.000000,0.012375,0.023102,0.000000,-0.035000,-0.017000,0.117000,FlatInitial,Hold,0,0.000000
06:58:41.194 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4002.246094,-3990.966797,4000.000000,4000.000000,Speed,Speed,-15.770000,1.310000,2.440000,3.000000,100.000000,1,1,0.000000,-0.000000,1,0.000931,0.006256,0.000000,0.012497,0.023270,0.000000,0.004000,0.000000,-0.056000,FlatInitial,Hold,0,0.000000
06:58:41.294 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4004.443359,-3994.921875,4000.000000,4000.000000,Speed,Speed,-15.760000,1.310000,2.470000,3.000000,102.000000,1,1,0.000000,-0.000000,1,0.000000,0.005035,0.000000,0.012527,0.023758,0.000000,0.006000,0.041000,-0.020000,FlatInitial,Hold,0,0.000000
06:58:41.394 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4007.373047,-3997.119141,4000.000000,4000.000000,Speed,Speed,-15.760000,1.280000,2.490000,3.000000,101.000000,1,1,0.000000,-0.000000,1,-0.003693,0.014145,0.000000,0.012405,0.024231,0.000000,-0.034000,-0.026000,0.077000,FlatInitial,Hold,0,0.000000
06:58:41.494 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4007.812500,-4004.736328,4000.000000,4000.000000,Speed,Speed,-15.770000,1.280000,2.480000,3.000000,101.000000,1,1,0.000000,-0.000000,1,-0.008240,0.015945,0.000000,0.011887,0.025040,0.000000,-0.017000,-0.001000,-0.079000,FlatInitial,Hold,0,0.000000
06:58:41.594 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4006.933594,-4009.570312,4000.000000,4000.000000,Speed,Speed,-15.760000,1.290000,2.460000,3.000000,101.000000,1,1,0.000000,-0.000000,1,-0.017471,0.006088,0.000000,0.011154,0.025620,0.000000,0.030000,0.010000,0.006000,FlatInitial,Hold,0,0.000000
06:58:41.695 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4004.589844,-4008.837891,4000.000000,4000.000000,Speed,Speed,-15.770000,1.250000,2.420000,3.000000,105.000000,1,1,0.000000,-0.000000,1,-0.025650,-0.001526,0.000000,0.010071,0.025711,0.000000,-0.024000,-0.052000,0.098000,FlatInitial,Hold,0,0.000000
06:58:41.796 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4002.539062,-4007.373047,4000.000000,4000.000000,Speed,Speed,-15.780000,1.220000,2.340000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.034912,0.000000,0.000000,0.008881,0.025620,0.000000,-0.039000,-0.009000,-0.043000,FlatInitial,Hold,0,0.000000
06:58:41.897 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4000.781250,-4006.054687,4000.000000,4000.000000,Speed,Speed,-15.780000,1.200000,2.270000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.006332,-0.021667,0.000000,0.008011,0.024994,0.000000,0.008000,0.000000,0.017000,FlatInitial,Hold,0,0.000000
06:58:41.998 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4000.781250,-4003.710937,4000.000000,4000.000000,Speed,Speed,-15.780000,1.180000,2.200000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.024948,-0.033844,0.000000,0.007187,0.023468,0.000000,-0.026000,-0.060000,0.093000,FlatInitial,Hold,0,0.000000
