Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState
06:35:02.985 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,24.902344,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.980000,1.210000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.002000,0.000000,0.020000,FlatInitial,ResetForward
06:35:03.085 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,40.722656,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.980000,1.210000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.005000,-0.003000,0.016000,FlatInitial,ResetForward
06:35:03.186 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,20.800781,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.900000,0.970000,1.240000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,-0.002000,0.000000,0.010000,FlatInitial,ResetForward
06:35:03.287 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,11.279297,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.960000,1.250000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,0.000000,0.016000,FlatInitial,ResetForward
06:35:03.387 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,6.738281,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.950000,1.250000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.014000,FlatInitial,ResetForward
06:35:03.488 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,1.171875,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.940000,1.260000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.001000,0.012000,FlatInitial,ResetForward
06:35:03.589 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.940000,1.260000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,-0.002000,0.013000,FlatInitial,ResetForward
06:35:03.690 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.292969,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.930000,1.270000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.008000,FlatInitial,ResetForward
06:35:03.790 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.292969,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.930000,1.280000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.003000,-0.002000,0.010000,FlatInitial,ResetForward
06:35:03.891 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.930000,1.280000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,-0.002000,0.000000,0.014000,FlatInitial,ResetForward
